PhraseID,LevelID,LevelName_EN,TopicName_EN,SubtopicName_EN,Esperanto,English,日本語,中文,한국어,Русский язык
156,2,Beginner 2,Basic Sentences,Saying Hello & Goodbye,Bonan matenon,Good morning.,おはようございます。,早上好,좋은 아침입니다,Доброе утро.
157,1,Beginner 1,Basic Sentences,Saying Hello & Goodbye,Saluton!,Hi!,こんにちは！,你好！,안녕하세요!,Привет!
158,1,Beginner 1,Basic Sentences,Saying Hello & Goodbye,Ĝis!,Bye!,さようなら！,再见！,안녕히 가세요!,Пока!
159,1,Beginner 1,Basic Sentences,Saying Hello & Goodbye,Kiel vi fartas?,How are you?,お元気ですか？,你好吗？,잘 지내고 계신가요?,Как дела?
160,1,Beginner 1,Basic Sentences,Saying Hello & Goodbye,"Mi fartas bone, dankon","I'm OK, thanks.",元気です、ありがとうございます。,我没事，谢谢。,"괜찮아요, 감사합니다.","Хорошо, спасибо."
161,4,Intermediate 2,Basic Sentences,Saying Hello & Goodbye,Estas bone vidi vin!,Good to see you!,お会いできてうれしいです！,很高兴见到你！,만나서 반가워요!,Рада вас видеть!
162,2,Beginner 2,Basic Sentences,Saying Hello & Goodbye,Bonan tagon,Good afternoon.,こんにちは。,下午好。,안녕하세요.,Добрый день.
163,2,Beginner 2,Basic Sentences,Saying Hello & Goodbye,Bonan vesperon,Good evening.,こんばんは。,晚上好。,안녕하세요.,Добрый вечер.
164,2,Beginner 2,Basic Sentences,Saying Hello & Goodbye,Bonan nokton,Good night.,おやすみなさい。,晚安。,안녕히 주무세요.,Спокойной ночи.
165,3,Intermediate 1,Basic Sentences,Saying Hello & Goodbye,Ĝis revido!,Goodbye!,さようなら！,再见！,안녕히 가세요!,До свидания!
166,3,Intermediate 1,Basic Sentences,Saying Hello & Goodbye,Ĝis morgaŭ!,See you tomorrow!,また明日！,明天见！,내일 봐요!,До завтра!
167,3,Intermediate 1,Basic Sentences,Saying Hello & Goodbye,"Bone, dankon, kaj vi?","Fine, thanks, and you?",はい、元気です。あなたはいかがですか？,我很好，谢谢，你呢？,"네, 잘 지내요. 당신은요?","Спасибо, хорошо, а ты?"
168,3,Intermediate 1,Basic Sentences,Saying Hello & Goodbye,Ne tre bone,Not so well.,あまり良くありません。,不太好。,그다지 잘 지내지 못하고 있어요.,Не очень хорошо.
169,3,Intermediate 1,Basic Sentences,Saying Hello & Goodbye,Tiel-tiel,So-so.,まあまあです。,马马虎虎。,그저 그래요.,Так себе.
170,4,Intermediate 2,Basic Sentences,Saying Hello & Goodbye,Kio nova?,What's new?,最近どう？,有什么新鲜事？,새로운 소식이 있나요?,Что нового?
171,4,Intermediate 2,Basic Sentences,Saying Hello & Goodbye,Nenio nova,Nothing new.,特に変わりありません。,没有新情况。,새로운 소식이 없습니다.,Ничего нового.
172,6,Advanced 1,Basic Sentences,Saying Hello & Goodbye,Kiel iras la laboro?,How's work going?,仕事はどう？,工作进展怎么样？,일은 어떻게 되고 있어요?,Как дела на работе?
173,6,Advanced 1,Basic Sentences,Saying Hello & Goodbye,"Ne tro malbone, dankon","Not too bad, thanks.",まあまあです、ありがとうございます。,还不错，谢谢。,"그렇게 나쁘지 않네요, 감사합니다.","Неплохо, спасибо."
174,5,Intermediate 3,Basic Sentences,Saying Hello & Goodbye,Mi ĝojas revidi vin,I'm glad to see you again.,またお会いできてうれしいです。,很高兴再次见到你。,다시 만나서 반가워요.,Рад вас снова видеть.
175,5,Intermediate 3,Basic Sentences,Saying Hello & Goodbye,Mi devas iri,I have to go.,もう行かなくてはいけません。,我得走了。,저는 가봐야 해요.,Мне нужно идти.
176,5,Intermediate 3,Basic Sentences,Saying Hello & Goodbye,Ĝis revido!,See you later!,また後でね！,回头见！,나중에 봐요!,Увидимся позже!
177,5,Intermediate 3,Basic Sentences,Saying Hello & Goodbye,Mi revenos,I'll come back.,また戻ってきます。,我会回来的。,다시 올게요.,Я вернусь.
178,7,Advanced 2,Basic Sentences,Saying Hello & Goodbye,Salutu Lukason de mi,Say hi to Lukas for me.,ルーカスによろしく伝えてください。,帮我向卢卡斯问好。,루카스에게 안부 전해 주세요.,Передай Лукасу от меня привет.
179,7,Advanced 2,Basic Sentences,Saying Hello & Goodbye,Estis agrable paroli kun vi,It was nice talking to you.,お話しできて楽しかったです。,很高兴和你聊天。,이야기 나눌 수 있어서 즐거웠어요.,Было приятно поговорить с тобой.
180,4,Intermediate 2,Basic Sentences,Saying Hello & Goodbye,Bonvenon!,Welcome!,ようこそ！,欢迎！,환영합니다!,Добро пожаловать!
181,6,Advanced 1,Basic Sentences,Saying Hello & Goodbye,Ĝis baldaŭ!,See you soon!,またすぐに会いましょう！,回头见！,곧 뵙겠습니다!,До скорого!
182,6,Advanced 1,Basic Sentences,Saying Hello & Goodbye,Mi tuj revenos!,I will be right back!,すぐ戻ります！,我马上回来！,금방 돌아올게요!,Я скоро вернусь!
183,9,Expert 1,Basic Sentences,Saying Hello & Goodbye,"Ĉiuokaze, mi parolos kun vi poste","Anyway, I'll talk to you later.",とにかく、また後で話そう。,总之，稍后再和你聊。,"아무튼, 나중에 다시 얘기할게요.","В любом случае, поговорим с тобой позже."
184,6,Advanced 1,Basic Sentences,Saying Hello & Goodbye,Estis agrable konatiĝi kun vi,It was nice meeting you.,お会いできて嬉しかったです。,很高兴见到你。,만나서 반가웠어요.,Было приятно с вами познакомиться.
185,7,Advanced 2,Basic Sentences,Saying Hello & Goodbye,Estis bone vidi vin,It was good seeing you.,お会いできてよかったです。,很高兴见到你。,만나서 반가웠어요.,Была рада тебя увидеть.
186,9,Expert 1,Basic Sentences,Saying Hello & Goodbye,Mi antaŭĝojas revidi vin,I'm looking forward to seeing you again.,またお会いできるのを楽しみにしています。,我很期待再次见到你。,다시 뵙게 되기를 기대하고 있어요.,С нетерпением жду следующей встречи с вами.
187,7,Advanced 2,Basic Sentences,Saying Hello & Goodbye,Ni revidiĝos post tri semajnoj,I'll see you in three weeks.,また三週間後に会いましょう。,三周后见。,3주 후에 뵙겠습니다.,Увидимся через три недели.
188,7,Advanced 2,Basic Sentences,Saying Hello & Goodbye,Kiel vi progresas en via nova laboro?,How are you getting on with your new job?,新しい仕事はどう進んでいますか？,你新工作的进展怎么样？,새로운 직장에는 잘 적응하고 계신가요?,Как вы справляетесь с новой работой?
189,9,Expert 1,Basic Sentences,Saying Hello & Goodbye,Bonvolu transdoni miajn korajn salutojn al via patro,Please give my kind regards to your father.,お父様によろしくお伝えください。,请代我向你父亲问好。,아버님께 안부 전해 주세요.,"Пожалуйста, передайте мои наилучшие пожелания своему отцу."
190,9,Expert 1,Basic Sentences,Saying Hello & Goodbye,Delonge ni ne vidiĝis,Long time no see.,お久しぶりです。,好久不见。,오랜만이에요.,Давно не виделись.
191,1,Beginner 1,Basic Sentences,Good Wishes,Bonŝancon!,Good luck!,頑張って！,祝你好运！,행운을 빌어요!,Удачи!
192,1,Beginner 1,Basic Sentences,Good Wishes,Ankaŭ al vi!,Same to you!,あなたもね！,你也是！,당신도요!,Взаимно!
193,1,Beginner 1,Basic Sentences,Good Wishes,Amuziĝu!,Have fun!,楽しんでね！,玩得开心！,즐겁게 보내세요!,Хорошо повеселиться!
194,1,Beginner 1,Basic Sentences,Good Wishes,Zorgu pri vi!,Take care!,お元気で！,保重！,몸조심하세요!,Береги себя!
195,2,Beginner 2,Basic Sentences,Good Wishes,Bonan tagon!,Have a nice day!,良い一日をお過ごしください。,祝你今天愉快！,좋은 하루 보내세요!,Хорошего дня!
196,2,Beginner 2,Basic Sentences,Good Wishes,"Dankon, ankaŭ al vi!","Thanks, you too!",ありがとうございます。あなたもどうぞ！,谢谢，你也是！,"감사합니다, 좋은 하루 보내세요!","Спасибо, и тебе!"
197,2,Beginner 2,Basic Sentences,Good Wishes,Ĉion plej bonan!,All the best!,ご健闘をお祈りします！,祝一切顺利！,행운을 빕니다!,Всего наилучшего!
198,2,Beginner 2,Basic Sentences,Good Wishes,Sanon!,Bless you!,お大事に！,保重！,몸조심하세요!,Будь здоров!
